Module,pre_proc,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc1,post_proc1,post_proc1,post_proc1,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Parameter,xc1,pt_dose,Bmax_act,Bsur_act,Time_gox,tox_gn,n_dose,n_energy,xj_nch,Bmax_nch,Bsur_nch,Lg,Vt0,Vts,Ion,Ioffs,St0,Sts,Gms,Gds,Vdibl,Ronoff,Icrit,Av,dSt
Unit,,,cm**-3,cm**-3,,um,,,um,cm**-3,cm**-3,,V,V,A/um,A/um,mV/dec,mV/dec,S/um,S/um,V,A/A,A/um,V/V,%
Parameter Type,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam
Wafer 2,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,5,8.43E-01,8.38E-01,9.92E-05,2.34E-14,1.06E+02,1.06E+02,3.94E-05,7.78E-07,4.94E-03,4.23E+09,3.95E-08,5.06E+01,-3.68E-01
Wafer 10,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,5,8.42E-01,8.37E-01,9.95E-05,2.29E-14,1.06E+02,1.06E+02,3.95E-05,7.70E-07,5.07E-03,4.34E+09,3.93E-08,5.13E+01,-3.78E-01
Wafer 18,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,5,8.42E-01,8.37E-01,9.96E-05,1.99E-14,1.06E+02,1.06E+02,3.96E-05,7.86E-07,5.17E-03,5.01E+09,3.92E-08,5.03E+01,-3.73E-01
Wafer 26,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,5,8.42E-01,8.37E-01,9.96E-05,2.27E-14,1.06E+02,1.06E+02,3.95E-05,7.99E-07,5.15E-03,4.38E+09,3.91E-08,4.94E+01,-3.72E-01
Wafer 34,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,220,0.360656,1.64E+17,3.16E+16,5,8.52E-01,8.45E-01,9.66E-05,2.67E-14,1.06E+02,1.05E+02,3.73E-05,1.53E-06,7.09E-03,3.62E+09,3.96E-08,2.44E+01,-4.54E-01
Wafer 42,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,90,0.31078,1.56E+17,2.77E+16,5,8.43E-01,8.37E-01,1.04E-04,2.17E-14,1.06E+02,1.06E+02,4.09E-05,8.95E-07,5.98E-03,4.77E+09,4.09E-08,4.57E+01,-3.30E-01
Wafer 50,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,130,0.319409,1.56E+17,2.68E+16,5,8.43E-01,8.37E-01,1.03E-04,2.29E-14,1.06E+02,1.06E+02,4.08E-05,9.59E-07,6.02E-03,4.51E+09,4.08E-08,4.25E+01,-3.34E-01
Wafer 58,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,160,0.337279,1.55E+17,2.70E+16,5,8.44E-01,8.37E-01,1.03E-04,2.49E-14,1.06E+02,1.06E+02,4.08E-05,1.06E-06,6.04E-03,4.15E+09,4.06E-08,3.86E+01,-3.29E-01
Wafer 66,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,190,0.363509,1.57E+17,2.83E+16,5,8.43E-01,8.37E-01,1.03E-04,3.00E-14,1.06E+02,1.06E+02,4.07E-05,1.09E-06,6.08E-03,3.44E+09,4.05E-08,3.73E+01,-3.36E-01
Wafer 74,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,220,0.392961,1.49E+17,2.88E+16,5,8.55E-01,8.48E-01,1.06E-04,2.52E-14,1.06E+02,1.05E+02,4.29E-05,1.33E-06,7.05E-03,4.19E+09,4.31E-08,3.22E+01,-3.92E-01
Wafer 82,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,90,0.321186,1.48E+17,2.58E+16,5,8.46E-01,8.40E-01,1.07E-04,2.22E-14,1.06E+02,1.06E+02,4.21E-05,1.81E-06,6.51E-03,4.83E+09,4.29E-08,2.33E+01,-3.10E-01
Wafer 90,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,130,0.336026,1.44E+17,2.65E+16,5,8.48E-01,8.41E-01,1.08E-04,2.44E-14,1.06E+02,1.06E+02,4.22E-05,1.72E-06,6.52E-03,4.41E+09,4.37E-08,2.46E+01,-3.00E-01
Wafer 98,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,160,0.363222,1.46E+17,2.58E+16,5,8.45E-01,8.39E-01,1.07E-04,2.41E-14,1.06E+02,1.06E+02,4.20E-05,1.94E-06,6.50E-03,4.43E+09,4.19E-08,2.17E+01,-3.05E-01
Wafer 106,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,190,0.38556,1.39E+17,2.90E+16,5,8.49E-01,8.41E-01,1.05E-04,2.49E-14,1.06E+02,1.05E+02,4.21E-05,1.91E-06,8.11E-03,4.23E+09,4.07E-08,2.21E+01,-3.85E-01
Wafer 114,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,220,0.406576,1.38E+17,2.75E+16,5,8.55E-01,8.47E-01,1.08E-04,2.28E-14,1.06E+02,1.05E+02,4.36E-05,1.34E-06,7.66E-03,4.73E+09,4.38E-08,3.26E+01,-3.79E-01
Wafer 122,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,90,0.32222,1.53E+17,2.55E+16,5,8.48E-01,8.41E-01,1.09E-04,2.39E-14,1.06E+02,1.06E+02,4.29E-05,1.95E-06,6.58E-03,4.58E+09,4.42E-08,2.20E+01,-2.99E-01
Wafer 130,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,130,0.357862,1.43E+17,2.58E+16,5,8.49E-01,8.42E-01,1.10E-04,2.80E-14,1.06E+02,1.06E+02,4.30E-05,1.95E-06,6.47E-03,3.92E+09,4.47E-08,2.20E+01,-2.97E-01
Wafer 138,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,160,0.36606,1.48E+17,2.51E+16,5,8.47E-01,8.41E-01,1.08E-04,2.57E-14,1.06E+02,1.06E+02,4.25E-05,1.97E-06,6.61E-03,4.23E+09,4.33E-08,2.16E+01,-2.98E-01
Wafer 146,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,190,0.400186,1.37E+17,2.58E+16,5,8.54E-01,8.46E-01,1.09E-04,2.73E-14,1.06E+02,1.05E+02,4.38E-05,1.40E-06,7.80E-03,4.00E+09,4.42E-08,3.14E+01,-3.78E-01
Wafer 154,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,220,0.412778,1.35E+17,2.62E+16,5,8.55E-01,8.47E-01,1.09E-04,2.34E-14,1.06E+02,1.05E+02,4.38E-05,1.42E-06,7.81E-03,4.66E+09,4.41E-08,3.08E+01,-3.72E-01
Wafer 162,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,90,0.339656,1.59E+17,2.54E+16,5,8.49E-01,8.42E-01,1.10E-04,2.49E-14,1.06E+02,1.06E+02,4.33E-05,1.93E-06,6.55E-03,4.44E+09,4.49E-08,2.24E+01,-2.98E-01
Wafer 170,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,130,0.362478,1.47E+17,2.58E+16,5,8.49E-01,8.43E-01,1.11E-04,2.46E-14,1.06E+02,1.06E+02,4.35E-05,1.88E-06,6.47E-03,4.52E+09,4.52E-08,2.31E+01,-2.98E-01
Wafer 178,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,160,0.388026,1.54E+17,2.48E+16,5,8.48E-01,8.42E-01,1.10E-04,2.51E-14,1.06E+02,1.06E+02,4.31E-05,1.93E-06,6.59E-03,4.39E+09,4.43E-08,2.23E+01,-2.96E-01
Wafer 186,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,190,0.404975,1.42E+17,2.51E+16,5,8.54E-01,8.46E-01,1.10E-04,2.34E-14,1.06E+02,1.05E+02,4.41E-05,1.37E-06,7.83E-03,4.70E+09,4.44E-08,3.21E+01,-3.97E-01
Wafer 194,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,220,0.434003,1.40E+17,2.53E+16,5,8.54E-01,8.47E-01,1.10E-04,2.47E-14,1.06E+02,1.05E+02,4.40E-05,1.38E-06,7.75E-03,4.44E+09,4.43E-08,3.20E+01,-3.81E-01
Wafer 3,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,2,8.04E-01,7.92E-01,2.16E-04,2.92E-14,1.09E+02,1.08E+02,7.31E-05,2.07E-06,1.27E-02,7.40E+09,8.68E-08,3.54E+01,-9.20E-01
Wafer 11,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,2,8.03E-01,7.91E-01,2.16E-04,2.87E-14,1.09E+02,1.08E+02,7.33E-05,1.99E-06,1.25E-02,7.53E+09,8.59E-08,3.69E+01,-9.56E-01
Wafer 19,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,2,8.03E-01,7.90E-01,2.17E-04,2.57E-14,1.09E+02,1.08E+02,7.33E-05,2.06E-06,1.28E-02,8.42E+09,8.56E-08,3.57E+01,-9.30E-01
