Module,pre_proc,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc1,post_proc1,post_proc1,post_proc1,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Parameter,xc1,pt_dose,Bmax_act,Bsur_act,Time_gox,tox_gn,n_dose,n_energy,xj_nch,Bmax_nch,Bsur_nch,Lg,Vt0,Vts,Ion,Ioffs,St0,Sts,Gms,Gds,Vdibl,Ronoff,Icrit,Av,dSt
Unit,,,cm**-3,cm**-3,,um,,,um,cm**-3,cm**-3,,V,V,A/um,A/um,mV/dec,mV/dec,S/um,S/um,V,A/A,A/um,V/V,%
Parameter Type,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam
Wafer 150,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,190,0.400186,1.37E+17,2.58E+16,1,7.98E-01,7.47E-01,4.73E-04,8.19E-14,1.11E+02,1.08E+02,1.33E-04,9.46E-06,5.14E-02,5.77E+09,2.74E-07,1.40E+01,-2.31E+00
Wafer 158,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,220,0.412778,1.35E+17,2.62E+16,1,8.03E-01,7.51E-01,4.70E-04,7.39E-14,1.10E+02,1.09E+02,1.33E-04,9.35E-06,5.17E-02,6.35E+09,2.69E-07,1.42E+01,-1.34E+00
Wafer 166,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,90,0.339656,1.59E+17,2.54E+16,1,7.37E-01,6.68E-01,5.66E-04,2.78E-13,1.04E+02,1.00E+02,1.48E-04,2.58E-05,6.89E-02,2.04E+09,3.29E-07,5.71E+00,-3.94E+00
Wafer 174,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,130,0.362478,1.47E+17,2.58E+16,1,7.37E-01,6.62E-01,5.78E-04,3.02E-13,1.04E+02,9.93E+01,1.51E-04,2.33E-05,7.51E-02,1.91E+09,3.50E-07,6.46E+00,-4.18E+00
Wafer 182,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,160,0.388026,1.54E+17,2.48E+16,1,7.33E-01,6.60E-01,5.52E-04,2.91E-13,1.05E+02,1.01E+02,1.44E-04,2.88E-05,7.27E-02,1.90E+09,2.98E-07,5.00E+00,-4.06E+00
Wafer 190,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,190,0.404975,1.42E+17,2.51E+16,1,7.94E-01,7.39E-01,4.83E-04,9.30E-14,1.11E+02,1.08E+02,1.34E-04,9.54E-06,5.55E-02,5.20E+09,2.82E-07,1.41E+01,-2.65E+00
Wafer 198,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,220,0.434003,1.40E+17,2.53E+16,1,7.98E-01,7.43E-01,4.79E-04,8.53E-14,1.11E+02,1.08E+02,1.34E-04,9.42E-06,5.45E-02,5.61E+09,2.78E-07,1.42E+01,-2.60E+00
Wafer 7,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,0.9,6.86E-01,6.72E-01,3.70E-04,1.65E-13,1.03E+02,1.03E+02,1.01E-04,5.67E-06,1.42E-02,2.24E+09,1.86E-07,1.79E+01,4.18E-01
Wafer 15,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,0.9,6.83E-01,6.66E-01,3.72E-04,1.70E-13,1.03E+02,1.03E+02,1.02E-04,5.55E-06,1.62E-02,2.18E+09,1.84E-07,1.83E+01,8.42E-02
Wafer 23,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,0.9,6.82E-01,6.63E-01,3.72E-04,1.73E-13,1.03E+02,1.03E+02,1.02E-04,5.79E-06,1.91E-02,2.15E+09,1.83E-07,1.76E+01,-1.44E-01
Wafer 31,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,0.9,6.82E-01,6.64E-01,3.73E-04,1.76E-13,1.04E+02,1.03E+02,1.01E-04,5.92E-06,1.83E-02,2.12E+09,1.85E-07,1.71E+01,-4.13E-01
Wafer 39,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,220,0.360656,1.64E+17,3.16E+16,0.9,7.98E-01,7.61E-01,2.78E-04,5.84E-14,1.11E+02,1.10E+02,7.49E-05,1.32E-05,3.73E-02,4.76E+09,1.74E-07,5.66E+00,-1.07E+00
Wafer 47,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,90,0.31078,1.56E+17,2.77E+16,0.9,6.85E-01,6.31E-01,4.21E-04,3.94E-13,1.05E+02,1.03E+02,1.07E-04,8.90E-06,5.40E-02,1.07E+09,2.43E-07,1.20E+01,-2.00E+00
Wafer 55,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,130,0.319409,1.56E+17,2.68E+16,0.9,6.86E-01,6.32E-01,4.20E-04,3.75E-13,1.05E+02,1.03E+02,1.07E-04,9.94E-06,5.36E-02,1.12E+09,2.35E-07,1.08E+01,-1.92E+00
Wafer 63,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,160,0.337279,1.55E+17,2.70E+16,0.9,6.85E-01,6.28E-01,4.18E-04,3.42E-13,1.05E+02,1.03E+02,1.07E-04,1.19E-05,5.60E-02,1.22E+09,2.23E-07,8.97E+00,-1.82E+00
Wafer 71,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,190,0.363509,1.57E+17,2.83E+16,0.9,6.86E-01,6.33E-01,4.14E-04,3.13E-13,1.05E+02,1.03E+02,1.07E-04,1.21E-05,5.26E-02,1.32E+09,2.17E-07,8.83E+00,-1.85E+00
Wafer 79,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,220,0.392961,1.49E+17,2.88E+16,0.9,7.98E-01,7.52E-01,4.66E-04,7.67E-14,1.10E+02,1.09E+02,1.32E-04,8.77E-06,4.66E-02,6.07E+09,2.73E-07,1.50E+01,-1.20E+00
Wafer 87,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,90,0.321186,1.48E+17,2.58E+16,0.9,6.96E-01,5.88E-01,5.51E-04,8.35E-13,1.04E+02,1.01E+02,1.40E-04,3.84E-05,1.08E-01,6.60E+08,3.18E-07,3.64E+00,-2.94E+00
Wafer 95,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,130,0.336026,1.44E+17,2.65E+16,0.9,7.00E-01,5.83E-01,5.74E-04,1.03E-12,1.04E+02,1.02E+02,1.45E-04,3.99E-05,1.17E-01,5.59E+08,3.48E-07,3.64E+00,-2.48E+00
Wafer 103,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,160,0.363222,1.46E+17,2.58E+16,0.9,6.91E-01,5.87E-01,5.20E-04,7.63E-13,1.04E+02,1.02E+02,1.31E-04,3.10E-05,1.04E-01,6.82E+08,2.78E-07,4.23E+00,-2.72E+00
Wafer 111,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,190,0.38556,1.39E+17,2.90E+16,0.9,7.60E-01,7.01E-01,3.67E-04,1.19E-13,1.10E+02,1.05E+02,1.03E-04,1.98E-06,5.89E-02,3.09E+09,1.82E-07,5.21E+01,-4.33E+00
Wafer 119,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,220,0.406576,1.38E+17,2.75E+16,0.9,7.94E-01,7.32E-01,4.94E-04,1.05E-13,1.11E+02,1.07E+02,1.36E-04,8.63E-06,6.17E-02,4.71E+09,3.02E-07,1.58E+01,-3.61E+00
Wafer 127,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,90,0.32222,1.53E+17,2.55E+16,0.9,7.01E-01,5.73E-01,6.05E-04,1.26E-12,1.04E+02,1.02E+02,1.53E-04,3.04E-05,1.27E-01,4.82E+08,3.70E-07,5.04E+00,-1.87E+00
Wafer 135,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,130,0.357862,1.43E+17,2.58E+16,0.9,7.02E-01,5.72E-01,6.18E-04,1.31E-12,1.03E+02,1.01E+02,1.56E-04,3.23E-05,1.30E-01,4.70E+08,3.95E-07,4.82E+00,-1.98E+00
Wafer 143,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,160,0.36606,1.48E+17,2.51E+16,0.9,6.98E-01,5.74E-01,5.74E-04,1.14E-12,1.04E+02,1.02E+02,1.45E-04,3.35E-05,1.24E-01,5.03E+08,3.32E-07,4.34E+00,-1.98E+00
Wafer 151,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,190,0.400186,1.37E+17,2.58E+16,0.9,7.83E-01,7.11E-01,5.11E-04,1.49E-13,1.10E+02,1.05E+02,1.38E-04,9.76E-06,7.22E-02,3.43E+09,3.22E-07,1.42E+01,-5.04E+00
Wafer 159,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,220,0.412778,1.35E+17,2.62E+16,0.9,7.90E-01,7.20E-01,5.07E-04,1.30E-13,1.11E+02,1.06E+02,1.38E-04,9.73E-06,7.02E-02,3.89E+09,3.15E-07,1.42E+01,-4.47E+00
Wafer 167,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,90,0.339656,1.59E+17,2.54E+16,0.9,7.03E-01,5.69E-01,6.28E-04,1.40E-12,1.03E+02,1.01E+02,1.58E-04,2.87E-05,1.34E-01,4.50E+08,4.03E-07,5.52E+00,-1.73E+00
Wafer 175,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,130,0.362478,1.47E+17,2.58E+16,0.9,7.01E-01,5.60E-01,6.44E-04,1.63E-12,1.02E+02,1.01E+02,1.61E-04,2.82E-05,1.41E-01,3.96E+08,4.28E-07,5.72E+00,-9.43E-01
Wafer 183,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,160,0.388026,1.54E+17,2.48E+16,0.9,7.01E-01,5.65E-01,6.12E-04,1.52E-12,1.04E+02,1.03E+02,1.54E-04,3.06E-05,1.37E-01,4.03E+08,3.74E-07,5.04E+00,-1.02E+00
Wafer 191,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,190,0.404975,1.42E+17,2.51E+16,0.9,7.77E-01,6.94E-01,5.24E-04,2.00E-13,1.10E+02,1.04E+02,1.40E-04,1.01E-05,8.24E-02,2.61E+09,3.29E-07,1.38E+01,-5.81E+00
Wafer 199,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,220,0.434003,1.40E+17,2.53E+16,0.9,7.82E-01,7.04E-01,5.18E-04,1.66E-13,1.10E+02,1.04E+02,1.40E-04,1.01E-05,7.80E-02,3.12E+09,3.26E-07,1.38E+01,-5.54E+00
Wafer 8,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,0.8,6.28E-01,5.83E-01,3.99E-04,6.09E-13,1.04E+02,1.02E+02,1.05E-04,6.49E-06,4.51E-02,6.54E+08,2.36E-07,1.62E+01,-1.27E+00
Wafer 16,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,0.8,6.21E-01,5.75E-01,4.01E-04,6.27E-13,1.03E+02,1.01E+02,1.05E-04,6.39E-06,4.52E-02,6.39E+08,2.29E-07,1.65E+01,-1.69E+00
Wafer 24,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,0.8,6.20E-01,5.72E-01,4.01E-04,6.64E-13,1.03E+02,1.01E+02,1.05E-04,6.68E-06,4.81E-02,6.05E+08,2.27E-07,1.58E+01,-2.05E+00
Wafer 32,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,0.8,6.13E-01,5.67E-01,4.02E-04,7.19E-13,1.02E+02,9.96E+01,1.05E-04,6.86E-06,4.64E-02,5.60E+08,2.23E-07,1.53E+01,-2.30E+00
Wafer 40,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,220,0.360656,1.64E+17,3.16E+16,0.8,7.90E-01,7.42E-01,2.85E-04,8.10E-14,1.11E+02,1.09E+02,7.52E-05,1.16E-05,4.78E-02,3.52E+09,1.95E-07,6.50E+00,-1.94E+00
Wafer 48,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,90,0.31078,1.56E+17,2.77E+16,0.8,5.96E-01,5.00E-01,4.62E-04,5.36E-12,1.08E+02,1.04E+02,1.11E-04,1.11E-05,9.52E-02,8.61E+07,2.69E-07,9.94E+00,-3.82E+00
Wafer 56,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,130,0.319409,1.56E+17,2.68E+16,0.8,6.00E-01,5.05E-01,4.61E-04,4.45E-12,1.06E+02,1.02E+02,1.12E-04,1.24E-05,9.48E-02,1.04E+08,2.68E-07,9.00E+00,-3.90E+00
Wafer 64,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,160,0.337279,1.55E+17,2.70E+16,0.8,6.02E-01,5.05E-01,4.57E-04,2.90E-12,1.01E+02,9.52E+01,1.11E-04,1.44E-05,9.67E-02,1.57E+08,2.60E-07,7.71E+00,-6.09E+00
Wafer 72,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,190,0.363509,1.57E+17,2.83E+16,0.8,6.05E-01,5.13E-01,4.52E-04,2.39E-12,1.03E+02,9.71E+01,1.11E-04,1.36E-05,9.23E-02,1.90E+08,2.55E-07,8.17E+00,-5.61E+00
Wafer 80,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,220,0.392961,1.49E+17,2.88E+16,0.8,7.82E-01,7.11E-01,5.09E-04,1.47E-13,1.11E+02,1.05E+02,1.38E-04,9.98E-06,7.12E-02,3.46E+09,3.18E-07,1.38E+01,-4.77E+00
Wafer 88,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,90,0.321186,1.48E+17,2.58E+16,0.8,6.09E-01,4.29E-01,6.44E-04,3.11E-11,1.08E+02,1.02E+02,1.60E-04,5.22E-05,1.80E-01,2.07E+07,4.00E-07,3.07E+00,-5.44E+00
Wafer 96,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,130,0.336026,1.44E+17,2.65E+16,0.8,6.16E-01,4.15E-01,6.80E-04,4.80E-11,1.08E+02,1.02E+02,1.68E-04,5.66E-05,2.01E-01,1.42E+07,4.72E-07,2.97E+00,-5.19E+00
Wafer 104,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,160,0.363222,1.46E+17,2.58E+16,0.8,6.02E-01,4.28E-01,5.92E-04,2.50E-11,1.08E+02,1.02E+02,1.45E-04,3.77E-05,1.75E-01,2.36E+07,3.26E-07,3.85E+00,-5.57E+00
Wafer 112,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,190,0.38556,1.39E+17,2.90E+16,0.8,7.29E-01,6.04E-01,3.75E-04,4.31E-13,1.08E+02,1.01E+02,1.06E-04,2.49E-06,1.25E-01,8.70E+08,1.93E-07,4.26E+01,-7.04E+00
Wafer 120,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,220,0.406576,1.38E+17,2.75E+16,0.8,7.72E-01,6.59E-01,5.44E-04,3.64E-13,1.10E+02,1.02E+02,1.43E-04,1.13E-05,1.13E-01,1.49E+09,3.60E-07,1.26E+01,-7.65E+00
Wafer 128,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,90,0.32222,1.53E+17,2.55E+16,0.8,6.17E-01,3.89E-01,7.31E-04,7.61E-11,1.07E+02,1.00E+02,1.76E-04,5.21E-05,2.28E-01,9.60E+06,5.19E-07,3.37E+00,-6.21E+00
Wafer 136,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,130,0.357862,1.43E+17,2.58E+16,0.8,6.18E-01,3.86E-01,7.51E-04,8.52E-11,1.07E+02,9.95E+01,1.79E-04,5.44E-05,2.32E-01,8.81E+06,5.82E-07,3.30E+00,-6.66E+00
Wafer 144,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,160,0.36606,1.48E+17,2.51E+16,0.8,6.12E-01,3.90E-01,6.80E-04,5.98E-11,1.08E+02,1.00E+02,1.64E-04,5.20E-05,2.22E-01,1.14E+07,4.34E-07,3.15E+00,-6.92E+00
Wafer 152,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,190,0.400186,1.37E+17,2.58E+16,0.8,7.52E-01,5.92E-01,5.67E-04,8.49E-13,1.09E+02,1.01E+02,1.45E-04,1.32E-05,1.61E-01,6.68E+08,3.86E-07,1.10E+01,-6.99E+00
Wafer 160,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,220,0.412778,1.35E+17,2.62E+16,0.8,7.65E-01,6.14E-01,5.64E-04,1.44E-12,1.10E+02,1.00E+02,1.46E-04,1.51E-05,1.50E-01,3.93E+08,3.79E-07,9.67E+00,-8.52E+00
Wafer 168,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,90,0.339656,1.59E+17,2.54E+16,0.8,6.20E-01,3.79E-01,7.68E-04,9.98E-11,1.06E+02,9.91E+01,1.82E-04,5.04E-05,2.41E-01,7.70E+06,6.03E-07,3.61E+00,-6.78E+00
Wafer 176,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,130,0.362478,1.47E+17,2.58E+16,0.8,6.14E-01,3.57E-01,7.93E-04,1.58E-10,1.05E+02,9.66E+01,1.85E-04,4.58E-05,2.57E-01,5.04E+06,6.55E-07,4.03E+00,-8.10E+00
Wafer 184,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,160,0.388026,1.54E+17,2.48E+16,0.8,6.16E-01,3.66E-01,7.38E-04,1.20E-10,1.07E+02,9.88E+01,1.74E-04,4.89E-05,2.51E-01,6.14E+06,5.34E-07,3.56E+00,-7.83E+00
Wafer 192,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,190,0.404975,1.42E+17,2.51E+16,0.8,7.37E-01,5.46E-01,5.87E-04,2.91E-12,1.08E+02,1.01E+02,1.48E-04,1.66E-05,1.91E-01,2.02E+08,3.87E-07,8.89E+00,-6.52E+00
Wafer 200,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,220,0.434003,1.40E+17,2.53E+16,0.8,7.49E-01,5.68E-01,5.81E-04,2.39E-11,1.09E+02,1.00E+02,1.47E-04,1.72E-05,1.82E-01,2.44E+07,3.89E-07,8.54E+00,-7.47E+00
