Module,pre_proc,vt_impl11,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc,post_proc,post_proc,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Parameter,xc1,pt_eng,pt_dose,Bmax_act,Bsur_act,Time_gox,tox_gn,n_energy,xj_nch,Bmax_nch,Bsur_nch,Lg,Vt0,Vts,Ion,Ioffs,St0,Sts,Gms,Gds,Vdibl,Ronoff,Icrit,Av,dSt
Unit,,,,cm**-3,cm**-3,,um,,um,cm**-3,cm**-3,,V,V,A/um,A/um,mV/dec,mV/dec,S/um,S/um,V,A/A,A/um,V/V,%
Parameter Type,GlobalParamSplit,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam
Wafer 50,3.2,250,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.322694,1.44E+17,2.66E+16,5,8.48E-01,8.42E-01,1.08E-04,1.78E-14,1.06E+02,1.06E+02,4.20E-05,1.45E-06,6.34E-03,6.03E+09,4.37E-08,2.90E+01,-2.83E-01
Wafer 42,3.2,250,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.339867,1.44E+17,2.65E+16,5,8.47E-01,8.40E-01,1.08E-04,4.32E-14,1.06E+02,1.06E+02,4.24E-05,2.01E-06,6.66E-03,2.50E+09,4.37E-08,2.11E+01,-3.13E-01
Wafer 34,3.2,150,9.00E+12,3.76E+17,3.90E+16,30,0.019967,130,0.31508,3.17E+17,2.77E+16,5,8.68E-01,8.66E-01,1.03E-04,2.67E-14,1.06E+02,1.06E+02,4.07E-05,1.31E-06,1.81E-03,3.87E+09,4.43E-08,3.11E+01,2.02E-01
Wafer 26,3.2,150,7.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.316817,2.48E+17,2.75E+16,5,8.64E-01,8.61E-01,1.04E-04,3.20E-14,1.06E+02,1.06E+02,4.10E-05,1.32E-06,2.63E-03,3.26E+09,4.41E-08,3.11E+01,1.09E-01
Wafer 18,3.2,150,5.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.318591,1.79E+17,2.72E+16,5,8.59E-01,8.56E-01,1.05E-04,2.86E-14,1.06E+02,1.06E+02,4.12E-05,1.32E-06,3.60E-03,3.68E+09,4.40E-08,3.12E+01,3.03E-03
Wafer 10,3.2,150,3.00E+12,3.76E+17,3.90E+16,30,0.019968,130,0.320405,1.49E+17,2.69E+16,5,8.54E-01,8.50E-01,1.06E-04,4.25E-14,1.06E+02,1.06E+02,4.15E-05,1.33E-06,4.73E-03,2.50E+09,4.39E-08,3.13E+01,-1.16E-01
Wafer 2,3.2,150,1.00E+12,3.76E+17,3.90E+16,30,0.019965,130,0.322261,1.45E+17,2.66E+16,5,8.49E-01,8.43E-01,1.07E-04,7.82E-14,1.06E+02,1.06E+02,4.18E-05,1.38E-06,6.07E-03,1.37E+09,4.37E-08,3.02E+01,-2.51E-01
Wafer 195,3.2,600,9.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.355158,2.49E+17,2.65E+16,2,8.14E-01,7.94E-01,2.52E-04,3.64E-14,1.08E+02,1.08E+02,7.97E-05,8.26E-06,2.02E-02,6.92E+09,1.11E-07,9.65E+00,-3.20E-01
Wafer 187,3.2,600,7.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.35587,1.95E+17,2.65E+16,2,8.14E-01,7.94E-01,2.52E-04,3.81E-14,1.08E+02,1.08E+02,7.97E-05,8.82E-06,2.02E-02,6.62E+09,1.11E-07,9.04E+00,-3.24E-01
Wafer 179,3.2,600,5.00E+12,3.76E+17,3.90E+16,30,0.019978,130,0.356588,1.45E+17,2.64E+16,2,8.14E-01,7.94E-01,2.53E-04,3.75E-14,1.08E+02,1.08E+02,7.97E-05,9.52E-06,2.02E-02,6.74E+09,1.11E-07,8.38E+00,-3.27E-01
